Date,AUD,CAD,CHF,CYP,CZK,DKK,EEK,EUR,GBP,HKD,HUF,ISK,JPY,KRW,LTL,LVL,MTL,NOK,NZD,PLN,ROL,SEK,SGD,SIT,SKK,TRL,ZAR
1999-01-04,1.6202,1.5272,1.3714,0.49394,29.779,6.3195,13.273,0.84825,0.60319,7.7472,213.32,69.115,113.44,1186.4,4.0012,0.56561,0.37594,7.5112,1.8856,3.4534,11121.0,8.0326,1.6587,160.35,36.467,315780.0,5.8833
1999-01-05,1.6068,1.5237,1.3675,0.49389,29.616,6.3185,13.271,0.84818,0.60407,7.7473,212.72,69.152,111.08,1164.5,4.0012,0.56463,0.37591,7.4423,1.8669,3.4135,11169.0,7.975,1.6671,160.12,36.343,316220.0,5.7655
1999-01-06,1.6027,1.5082,1.3724,0.49561,29.677,6.3401,13.325,0.85157,0.60257,7.7501,213.46,69.437,111.91,1157.7,4.0019,0.56621,0.37639,7.4372,1.8641,3.4118,11213.0,7.9239,1.6775,160.69,36.429,316950.0,5.7317
1999-01-07,1.5882,1.5132,1.3897,0.50023,29.991,6.3988,13.452,0.8597,0.60682,7.7485,215.0,69.687,111.27,1149.6,4.0017,0.56972,0.37938,7.4188,1.851,3.453,11255.0,7.892,1.6709,162.31,36.765,318220.0,5.8703
1999-01-08,1.5787,1.5133,1.3842,0.49907,29.967,6.3842,13.421,0.85771,0.60846,7.7453,214.56,69.466,111.58,1172.2,4.0006,0.57072,0.37902,7.3677,1.849,3.462,11273.0,7.8609,1.6757,161.97,36.504,318920.0,5.82
1999-01-11,1.5675,1.5095,1.392,0.50278,30.403,6.4338,13.525,0.86438,0.60887,7.7496,215.84,69.626,109.2,1172.7,4.0017,0.56928,0.38076,7.3978,1.8374,3.4852,11220.0,7.8646,1.6733,163.34,36.744,321960.0,5.87
1999-01-12,1.5703,1.5097,1.3951,0.50469,30.599,6.4609,13.582,0.86806,0.61337,7.747,216.32,69.957,112.53,1174.8,4.0007,0.573,0.3822,7.474,1.8411,3.5009,11208.0,7.8954,1.6791,164.53,36.884,323000.0,6.04
1999-01-13,1.5855,1.5432,1.3565,0.49549,30.75,6.3379,13.323,0.8515,0.6032,7.7493,217.14,69.176,112.3,1173.3,4.0009,0.56846,0.37764,7.4481,1.8515,3.5791,11196.0,7.7827,1.6872,162.81,36.439,320460.0,6.177
1999-01-14,1.575,1.5195,1.3674,0.49936,30.634,6.3878,13.427,0.85815,0.60602,7.748,217.83,69.45,113.91,1186.1,4.0021,0.57144,0.37879,7.4869,1.851,3.5472,11271.0,7.8392,1.6833,162.14,36.692,321890.0,6.12
1999-01-15,1.5816,1.5308,1.3748,0.50049,30.845,6.403,13.459,0.86014,0.60545,7.75,217.91,69.413,113.31,1183.4,4.001,0.56916,0.38027,7.4961,1.8564,3.6126,11323.0,7.8763,1.6833,160.96,36.761,321860.0,6.21
1999-01-18,1.5753,1.5257,1.3782,0.50089,30.671,6.4098,13.475,0.86118,0.60394,7.7458,215.97,69.428,114.45,1180.9,4.0008,0.57053,0.38004,7.4556,1.8663,3.5022,11422.0,7.8307,1.6835,163.07,36.79,329000.0,5.9935
1999-01-19,1.575,1.5271,1.3775,0.50083,30.772,6.4032,13.47,0.86088,0.60262,7.7431,215.77,69.318,113.76,1174.7,3.9997,0.56904,0.37982,7.4294,1.8607,3.5273,11480.0,7.7518,1.6805,163.09,36.791,328900.0,6.04
1999-01-20,1.5606,1.5228,1.3844,0.50251,30.905,6.4257,13.518,0.86393,0.60596,7.7413,215.97,69.538,113.68,1165.6,3.9987,0.56942,0.38056,7.4298,1.8574,3.5289,11468.0,7.7447,1.6759,163.34,36.861,328670.0,6.0
1999-01-21,1.5703,1.5148,1.3852,0.50262,31.161,6.428,13.521,0.86415,0.6069,7.7469,216.19,69.409,112.63,1172.5,4.0009,0.56991,0.38049,7.4361,1.857,3.567,11478.0,7.7281,1.6737,163.33,37.009,328670.0,6.0315
1999-01-22,1.5756,1.5142,1.3818,0.50292,31.371,6.4297,13.527,0.86453,0.6056,7.7581,216.27,69.543,114.01,1180.8,4.005,0.57085,0.38039,7.4544,1.8604,3.5953,11485.0,7.7903,1.6825,162.93,37.093,326960.0,6.0776
1999-01-25,1.5812,1.5211,1.3783,0.50213,31.259,6.4198,13.507,0.86326,0.60333,7.7491,216.22,69.294,114.03,1179.4,4.0008,0.5701,0.38087,7.4348,1.8697,3.5918,11497.0,7.7175,1.6883,162.93,37.071,328160.0,6.0636
1999-01-26,1.5879,1.5204,1.3834,0.50241,31.614,6.4203,13.51,0.86341,0.60231,7.7541,216.45,69.107,113.81,1174.7,3.998,0.57166,0.37981,7.4361,1.8709,3.6122,11508.0,7.7025,1.6847,163.69,37.07,328500.0,6.04
1999-01-27,1.5884,1.5202,1.3949,0.50435,31.628,6.4496,13.572,0.86738,0.60439,7.75,216.91,69.286,114.42,1175.0,4.0018,0.57308,0.3826,7.4581,1.873,3.6073,11538.0,7.7041,1.6867,164.56,37.204,329400.0,6.0427
1999-01-28,1.6005,1.5227,1.4136,0.5094,31.93,6.517,13.713,0.87642,0.60719,7.75,218.53,69.833,115.91,1175.4,4.0016,0.57599,0.38352,7.511,1.8725,3.6267,11568.0,7.7695,1.6906,166.21,37.435,331680.0,6.06
1999-01-29,1.5888,1.5162,1.4163,0.51047,32.35,6.5319,13.745,0.87843,0.60699,7.747,218.94,69.914,116.04,1174.7,4.0006,0.57546,0.38396,7.5356,1.8541,3.6551,11665.0,7.8004,1.6895,165.58,37.532,331930.0,6.0439
1999-02-01,1.5772,1.5102,1.419,0.51252,32.759,6.5587,13.8,0.88199,0.60893,7.7473,219.59,70.259,115.43,1174.5,4.0003,0.57532,0.38508,7.5318,1.8399,3.7361,11825.0,7.8144,1.6907,167.11,37.822,334850.0,6.035
1999-02-02,1.5649,1.5065,1.4115,0.51236,32.985,6.5598,13.802,0.88207,0.60757,7.7489,219.63,70.124,112.64,1170.0,4.001,0.57387,0.38493,7.5721,1.8312,3.7308,11993.0,7.8306,1.686,168.37,37.668,335350.0,6.01
1999-02-03,1.5532,1.5128,1.4091,0.51241,32.785,6.5601,13.802,0.88207,0.61083,7.7511,219.63,70.213,111.9,1170.7,4.0022,0.57334,0.38538,7.6078,1.8141,3.7059,12049.0,7.8636,1.6876,168.02,37.461,335400.0,6.01
1999-02-04,1.5574,1.505,1.4221,0.5156,32.991,6.6023,13.892,0.88786,0.61209,7.7507,220.87,70.425,113.34,1170.6,4.0024,0.57258,0.38702,7.6734,1.8167,3.6857,12124.0,7.9011,1.6877,169.07,37.662,337590.0,6.0305
1999-02-05,1.5315,1.4847,1.418,0.51443,33.09,6.585,13.857,0.88558,0.60972,7.7506,220.43,70.351,113.31,1170.1,4.0019,0.57129,0.38611,7.6802,1.8093,3.6976,12238.0,7.8569,1.6888,168.51,37.6,338610.0,6.0325
1999-02-08,1.5321,1.4872,1.4243,0.51645,33.532,6.6117,13.913,0.88921,0.61248,7.7489,221.09,70.558,113.66,1175.7,3.9994,0.57229,0.38734,7.6649,1.7917,3.7309,12198.0,7.8757,1.6897,169.24,37.842,339910.0,5.954
1999-02-09,1.5484,1.4951,1.4117,0.51257,33.846,6.561,13.807,0.88238,0.60981,7.7509,220.37,70.22,114.63,1175.6,3.9997,0.57434,0.38595,7.633,1.801,3.7554,12110.0,7.8593,1.6926,168.23,37.669,339200.0,6.0875
1999-02-10,1.549,1.494,1.4074,0.51218,33.623,6.555,13.796,0.88168,0.61312,7.7485,221.35,70.226,115.26,1177.7,3.9999,0.57653,0.386,7.6199,1.8118,3.7425,12143.0,7.876,1.693,168.8,37.654,339660.0,6.1154
1999-02-11,1.5406,1.4896,1.4114,0.51351,33.54,6.5724,13.832,0.88402,0.6166,7.7529,220.69,70.456,114.35,1175.7,4.0026,0.57443,0.38676,7.641,1.8106,3.7588,12242.0,7.8845,1.6888,168.14,37.859,340210.0,6.0621
1999-02-12,1.5527,1.4899,1.4223,0.51641,33.671,6.6121,13.916,0.88936,0.61517,7.752,221.74,70.802,114.66,1175.9,4.0031,0.57542,0.38776,7.6552,1.8276,3.7622,12152.0,7.9425,1.6931,169.37,38.24,344160.0,6.0975
1999-02-15,1.5441,1.4932,1.4193,0.51675,33.989,6.6158,13.923,0.88984,0.61354,7.7492,222.16,70.751,115.06,1175.4,4.0007,0.57537,0.3877,7.6464,1.8269,3.7918,12158.0,7.9031,1.6883,168.68,38.202,343710.0,6.1238
1999-02-16,1.5629,1.5038,1.4294,0.51943,34.207,6.6524,14.001,0.89477,0.61328,7.749,223.3,71.296,117.95,1174.9,4.0011,0.57785,0.39164,7.7134,1.866,3.8249,12253.0,7.9214,1.6979,170.32,38.427,345040.0,6.1917
1999-02-17,1.5774,1.5,1.4194,0.516,33.742,6.6072,13.905,0.88865,0.61077,7.7511,223.13,71.021,118.62,1175.8,4.0041,0.57691,0.38701,7.7273,1.8591,3.8025,12258.0,7.9152,1.6988,168.98,38.18,344930.0,6.13
1999-02-18,1.5747,1.4922,1.4229,0.517,33.826,6.6193,13.931,0.89031,0.61173,7.7475,224.41,71.163,119.66,1181.8,4.0012,0.5779,0.38827,7.78,1.8556,3.8141,12337.0,7.9483,1.7004,168.95,38.348,345570.0,6.19
1999-02-19,1.5679,1.4885,1.4317,0.52,33.838,6.66,14.017,0.89582,0.61256,7.7534,225.64,71.441,120.01,1205.2,4.0027,0.57932,0.38878,7.8003,1.842,3.8152,12386.0,7.9826,1.7081,169.96,39.081,348270.0,6.2325
1999-02-22,1.5681,1.4875,1.4543,0.52766,34.455,6.7636,14.235,0.90975,0.61763,7.7497,227.55,72.389,121.55,1216.8,4.0026,0.58197,0.39292,7.9044,1.8556,3.8763,12445.0,8.1036,1.7144,172.33,39.927,351300.0,6.2327
1999-02-23,1.563,1.4972,1.4545,0.52865,34.504,6.7776,14.265,0.91166,0.61956,7.7327,227.82,72.349,121.38,1209.0,3.9934,0.58228,0.39511,7.9082,1.8589,3.8662,12579.0,8.1215,1.7188,173.27,39.973,351630.0,6.228
1999-02-24,1.5824,1.5024,1.4442,0.52542,34.422,6.736,14.177,0.90604,0.62363,7.7462,228.53,72.067,121.28,1217.2,4.0009,0.58358,0.3906,7.8409,1.8817,3.879,12746.0,8.0742,1.7257,172.44,39.83,351600.0,6.1494
1999-02-25,1.5924,1.4997,1.4418,0.5258,34.443,6.7397,14.185,0.90654,0.62442,7.7478,228.95,72.061,120.45,1224.5,4.0033,0.58481,0.39335,7.8837,1.8948,3.9027,12845.0,8.1353,1.7281,172.5,39.815,352180.0,6.1875
1999-02-26,1.6173,1.5142,1.4422,0.52642,34.406,6.7475,14.201,0.90761,0.6238,7.7493,230.45,72.2,119.2,1224.0,4.0033,0.58377,0.39308,7.893,1.9124,3.9465,12775.0,8.1707,1.7213,172.87,39.897,352290.0,6.1775
1999-03-01,1.6171,1.5091,1.45,0.52786,34.198,6.7674,14.243,0.91025,0.62161,7.7498,231.69,72.055,119.36,1219.9,4.0028,0.58374,0.39359,7.8714,1.9057,3.9208,12815.0,8.1927,1.7243,173.28,39.908,355160.0,6.1638
1999-03-02,1.6067,1.5252,1.4616,0.53232,34.521,6.8288,14.372,0.91853,0.62129,7.7481,231.6,72.499,120.67,1224.4,4.0018,0.58529,0.39552,7.9471,1.8922,3.969,12967.0,8.253,1.7341,174.74,40.165,356990.0,6.2383
1999-03-03,1.6014,1.5245,1.4612,0.53187,34.454,6.8213,14.356,0.91752,0.61685,7.7453,233.07,72.364,121.28,1228.8,4.0002,0.58473,0.39444,7.9342,1.8871,3.9793,13135.0,8.2485,1.7347,174.53,40.046,357180.0,6.2284
1999-03-04,1.61,1.5285,1.4617,0.53332,34.528,6.8419,14.4,0.9203,0.62203,7.7467,234.33,72.667,123.25,1238.7,3.9992,0.58743,0.39619,7.9289,1.9023,3.9659,13399.0,8.2459,1.7352,175.16,40.098,357980.0,6.2395
1999-03-05,1.5995,1.522,1.4687,0.53483,34.413,6.8603,14.442,0.92302,0.62184,7.7496,233.67,72.706,122.94,1241.7,4.001,0.58815,0.39791,7.9195,1.892,3.9219,13389.0,8.2476,1.7285,175.91,40.497,359930.0,6.2158
1999-03-08,1.5904,1.5151,1.4607,0.53143,34.473,6.8135,14.345,0.91676,0.6212,7.7457,229.66,72.241,121.72,1237.2,3.9945,0.58572,0.39256,7.8644,1.8714,3.9025,12981.0,8.2032,1.7254,174.41,40.282,358950.0,6.1532
1999-03-09,1.5765,1.514,1.4665,0.5335,34.951,6.8424,14.404,0.92056,0.62174,7.7519,230.45,72.439,121.93,1235.8,4.0022,0.58796,0.39685,7.8804,1.8737,3.931,13415.0,8.2279,1.7322,174.75,41.014,360750.0,6.1475
1999-03-10,1.5737,1.5162,1.4621,0.52936,34.639,6.7863,14.286,0.91299,0.6159,7.7468,230.83,71.907,120.28,1232.7,3.9997,0.58578,0.39423,7.8001,1.8681,3.9388,13540.0,8.1188,1.7301,174.71,40.519,359590.0,6.1625
1999-03-11,1.5741,1.5229,1.4665,0.53222,34.738,6.8246,14.367,0.91819,0.61464,7.7512,232.18,71.94,120.28,1230.4,4.0017,0.587,0.39684,7.8055,1.8702,3.9528,13728.0,8.1085,1.7365,174.58,40.832,361090.0,6.1775
1999-03-12,1.5777,1.5238,1.4613,0.53029,34.751,6.799,14.313,0.91475,0.6116,7.7473,231.74,71.89,119.65,1233.5,4.0008,0.58489,0.39343,7.8014,1.8772,3.9329,13555.0,8.106,1.7334,174.12,41.03,362000.0,6.1575
1999-03-15,1.5823,1.5263,1.4622,0.52953,34.569,6.7883,14.291,0.91333,0.61549,7.7511,231.49,71.833,117.68,1230.7,3.9995,0.58425,0.39291,7.7884,1.8708,3.9367,13894.0,8.109,1.714,174.34,40.787,362320.0,6.2203
1999-03-16,1.593,1.5281,1.4673,0.53161,34.905,6.8179,14.354,0.91735,0.6149,7.7437,232.69,71.966,118.02,1225.6,3.9961,0.58664,0.39712,7.8447,1.8909,3.9544,14614.0,8.2277,1.7221,174.65,40.593,363420.0,6.2549
1999-03-17,1.596,1.5215,1.4579,0.52876,34.616,6.777,14.269,0.91191,0.61499,7.7488,231.45,71.831,118.71,1226.9,4.0,0.58773,0.39322,7.7877,1.9006,3.9276,16255.0,8.1871,1.7252,173.2,40.622,363070.0,6.255
1999-03-18,1.5854,1.5191,1.4507,0.52668,34.499,6.7491,14.209,0.9081,0.61388,7.7487,231.2,71.576,117.85,1224.8,3.9988,0.58763,0.39212,7.6998,1.8817,3.9139,16247.0,8.1166,1.7237,173.0,40.545,362450.0,6.2388
1999-03-19,1.5864,1.5156,1.4646,0.53114,34.766,6.8085,14.335,0.91617,0.61457,7.7499,232.38,71.901,117.26,1215.2,4.0003,0.58882,0.39414,7.743,1.8801,3.9054,14850.0,8.1878,1.724,174.42,40.88,365720.0,6.2217
1999-03-22,1.5808,1.512,1.4696,0.53345,35.109,6.8407,14.403,0.92047,0.6146,7.7499,233.11,72.082,117.82,1222.8,4.0,0.58763,0.39516,7.7729,1.876,3.9401,14900.0,8.2221,1.7273,175.29,41.147,366820.0,6.1722
1999-03-23,1.5642,1.5065,1.4634,0.53198,35.153,6.8204,14.36,0.91777,0.61546,7.7477,233.22,72.063,118.34,1225.0,3.9994,0.58636,0.39418,7.7492,1.8558,3.9361,14906.0,8.1975,1.733,174.89,41.024,366980.0,6.1968
1999-03-24,1.5642,1.5071,1.4557,0.53048,35.307,6.8003,14.318,0.91508,0.6088,7.7501,234.36,71.934,117.68,1223.3,4.0012,0.58529,0.39303,7.7306,1.8577,3.9825,14500.0,8.2078,1.7249,174.62,40.908,366860.0,6.215
1999-03-25,1.5693,1.5114,1.463,0.53194,35.288,6.8191,14.358,0.9176,0.61186,7.7419,234.22,72.013,118.05,1222.6,3.9994,0.5857,0.39512,7.7661,1.8654,3.9608,14565.0,8.2648,1.7258,175.1,41.03,367700.0,6.2221
1999-03-26,1.5717,1.5054,1.4762,0.53568,35.465,6.8718,14.468,0.92464,0.61489,7.7427,234.77,72.325,119.21,1221.7,3.9987,0.58779,0.39704,7.7448,1.862,3.954,14750.0,8.2755,1.7304,176.2,41.38,369060.0,6.2025
1999-03-29,1.581,1.5137,1.4911,0.54169,36.046,6.9506,14.634,0.93528,0.61869,7.7486,237.52,72.849,120.45,1225.0,4.0015,0.59119,0.39918,7.8222,1.8774,3.999,15000.0,8.3754,1.7337,177.35,42.068,373930.0,6.2475
1999-03-30,1.5874,1.5146,1.4897,0.5406,35.888,6.9384,14.608,0.93362,0.61974,7.7536,237.97,72.804,120.31,1225.4,4.0043,0.59135,0.39894,7.8037,1.8772,3.9754,15330.0,8.3582,1.7344,177.87,41.92,373820.0,6.223
1999-03-31,1.5882,1.5091,1.4877,0.53907,35.741,6.9184,14.566,0.93093,0.62028,7.7477,237.22,72.705,118.98,1226.9,4.0014,0.58983,0.39918,7.7709,1.8845,3.998,14950.0,8.2731,1.7263,177.93,41.856,373120.0,6.19
1999-04-01,1.5715,1.5044,1.4813,0.53877,35.724,6.899,14.526,0.92833,0.62105,7.7689,236.18,72.698,119.49,1226.9,4.0106,0.59051,0.39723,7.7446,1.8667,4.0271,14810.0,8.2519,1.7333,176.94,41.767,374200.0,6.1735
1999-04-02,1.5774,1.5004,1.4828,0.53877,35.687,6.8991,14.526,0.92833,0.62384,7.7508,235.77,72.716,120.54,1225.0,4.0013,0.59088,0.39835,7.7479,1.8756,4.0382,14795.0,8.2446,1.7318,176.81,41.758,374130.0,6.1652
1999-04-05,1.577,1.497,1.4851,0.53888,35.795,6.9111,14.553,0.93006,0.62333,7.7509,235.58,72.805,121.42,1226.6,4.0009,0.59059,0.39862,7.7665,1.8739,4.0265,14870.0,8.2632,1.7336,176.89,41.837,375440.0,6.17
1999-04-06,1.5908,1.5048,1.487,0.53991,35.756,6.9282,14.588,0.93231,0.63015,7.7536,236.02,73.075,121.19,1224.0,3.9985,0.59109,0.40136,7.7704,1.8891,4.0223,14826.0,8.2701,1.7344,177.9,41.855,375840.0,6.2175
1999-04-07,1.592,1.5026,1.4754,0.53577,35.33,6.8732,14.472,0.9249,0.62634,7.7494,235.04,73.03,121.41,1222.3,3.999,0.58916,0.3978,7.74,1.8813,3.9821,14500.0,8.2584,1.7356,176.44,41.545,375680.0,6.175
1999-04-08,1.6014,1.4989,1.4751,0.53553,35.185,6.8702,14.464,0.92439,0.6222,7.7481,234.36,72.971,120.59,1223.1,4.0006,0.58957,0.39712,7.7745,1.8841,3.9682,14525.0,8.2862,1.7302,176.53,41.401,375860.0,6.2325
1999-04-09,1.5923,1.5032,1.4815,0.53853,35.29,6.8958,14.518,0.92782,0.62386,7.7468,235.04,73.056,121.31,1222.9,3.9987,0.59102,0.39896,7.8048,1.8753,3.982,14275.0,8.2984,1.7336,177.19,41.515,376640.0,6.1878
1999-04-12,1.5741,1.4982,1.4751,0.5342,35.09,6.8405,14.399,0.92022,0.61866,7.7535,234.49,72.771,119.88,1223.3,4.0025,0.58958,0.39652,7.7342,1.8442,3.9641,14283.0,8.3004,1.7226,176.17,41.319,377150.0,6.1709
1999-04-13,1.5718,1.4908,1.4893,0.53813,35.444,6.9052,14.535,0.92894,0.61969,7.7501,235.66,73.117,120.45,1221.6,3.9991,0.59164,0.40167,7.7701,1.8463,3.9966,14789.0,8.3209,1.7172,178.86,41.665,379350.0,6.2212
1999-04-14,1.5654,1.4928,1.4881,0.53704,35.228,6.8908,14.505,0.92704,0.61806,7.7512,235.16,72.838,119.17,1215.4,3.9995,0.58969,0.39789,7.7325,1.8389,3.9775,14900.0,8.2859,1.6948,179.33,41.617,379640.0,6.0975
1999-04-15,1.5744,1.494,1.4866,0.53709,34.962,6.8916,14.507,0.92713,0.61951,7.7487,235.17,72.733,118.68,1214.8,3.9989,0.58928,0.3982,7.7369,1.8508,3.9738,14950.0,8.2783,1.6909,178.66,41.608,379460.0,6.09
1999-04-16,1.55,1.4858,1.5023,0.54272,35.547,6.9678,14.667,0.93738,0.62177,7.7531,236.86,73.088,118.26,1216.7,4.0022,0.59027,0.40101,7.7686,1.8408,4.0156,14902.0,8.3263,1.707,180.31,42.098,382110.0,6.1296
1999-04-19,1.5349,1.4817,1.5057,0.54423,35.488,6.9885,14.711,0.9402,0.61922,7.7467,236.48,73.129,118.16,1207.4,4.0002,0.58941,0.40118,7.7741,1.8182,4.0106,14898.0,8.3518,1.7049,181.17,42.312,384380.0,6.0745
1999-04-20,1.538,1.4865,1.5067,0.54372,35.536,6.9818,14.698,0.93932,0.61892,7.7394,236.02,73.06,117.87,1206.3,3.9964,0.58886,0.40081,7.7733,1.8159,4.0085,14884.0,8.359,1.7033,180.9,42.272,384020.0,6.0688
1999-04-21,1.5444,1.4902,1.5114,0.54661,35.705,7.0212,14.781,0.94464,0.6228,7.748,236.36,73.399,119.27,1188.2,4.0007,0.5905,0.40195,7.799,1.8286,4.0168,14783.0,8.4121,1.7115,182.07,42.434,386180.0,6.0825
1999-04-22,1.5467,1.4866,1.5131,0.54696,35.802,7.0246,14.788,0.94509,0.62234,7.7516,235.79,73.519,119.98,1193.4,4.0022,0.59087,0.40195,7.8107,1.8327,4.03,14847.0,8.4198,1.71,181.25,42.557,386610.0,6.0825
1999-04-23,1.5288,1.4787,1.5068,0.54426,35.583,6.9903,14.714,0.94038,0.61905,7.7491,236.6,73.274,119.66,1189.9,4.0005,0.59065,0.40041,7.7831,1.8154,4.0068,14797.0,8.3642,1.7103,180.84,42.236,387400.0,6.1089
1999-04-26,1.5403,1.4784,1.51,0.54522,35.529,7.0035,14.742,0.94215,0.6189,7.7473,236.2,73.365,118.92,1184.7,4.0005,0.59054,0.40098,7.7886,1.8238,3.9926,14795.0,8.38,1.7002,181.82,42.207,388340.0,6.075
1999-04-27,1.5455,1.4811,1.5096,0.5445,35.45,6.994,14.72,0.94073,0.61966,7.7534,235.88,73.368,119.79,1180.2,4.0013,0.59125,0.40066,7.786,1.8272,3.9941,14845.0,8.3754,1.7008,181.84,42.162,389050.0,6.0643
1999-04-28,1.5305,1.4743,1.5083,0.54275,35.446,6.9694,14.67,0.93756,0.61719,7.7485,235.58,73.073,119.12,1178.7,4.0005,0.59141,0.40034,7.778,1.8159,3.9867,14872.0,8.3565,1.696,181.01,42.122,388380.0,6.0681
1999-04-29,1.5205,1.4718,1.5157,0.54574,35.545,7.0096,14.756,0.94304,0.6209,7.7502,236.31,73.453,118.97,1176.0,4.0008,0.591,0.40126,7.7985,1.7977,3.9841,14988.0,8.4034,1.6972,182.12,42.403,389560.0,6.0625
1999-04-30,1.5172,1.4645,1.5205,0.54604,35.522,7.0136,14.765,0.94366,0.62008,7.7498,236.41,73.54,119.75,1187.5,3.9995,0.59196,0.40134,7.7866,1.7894,3.9523,14940.0,8.4057,1.7002,182.4,42.419,390180.0,6.1038
1999-05-03,1.5098,1.4558,1.5215,0.54648,35.421,7.0186,14.777,0.94438,0.62055,7.7508,236.11,73.831,119.87,1190.3,4.001,0.59297,0.40164,7.7859,1.7864,3.944,14927.0,8.4224,1.7013,182.74,42.399,392180.0,6.0731
1999-05-04,1.5142,1.4524,1.5239,0.54765,35.539,7.0352,14.812,0.94661,0.62031,7.7506,236.18,74.129,121.2,1196.7,4.0014,0.59362,0.40297,7.7987,1.7922,3.9481,14957.0,8.4707,1.7045,183.17,42.616,392680.0,6.0769
1999-05-05,1.5181,1.4564,1.5038,0.54261,35.199,6.9675,14.669,0.93747,0.61423,7.7486,234.55,73.676,120.73,1197.1,4.0009,0.59145,0.39899,7.7402,1.7972,3.9153,14938.0,8.4227,1.6986,181.59,42.139,391170.0,6.0925
1999-05-06,1.4915,1.4474,1.489,0.5365,34.752,6.8824,14.489,0.92601,0.61126,7.7504,232.06,73.183,120.94,1202.4,4.0012,0.58931,0.39606,7.6567,1.7728,3.8894,14946.0,8.3387,1.7014,179.38,41.598,390030.0,6.0865
1999-05-07,1.4947,1.4579,1.4906,0.53709,34.943,6.8915,14.507,0.92713,0.61283,7.7501,233.22,73.271,120.65,1202.4,4.0012,0.58975,0.39644,7.6567,1.7831,3.8998,14970.0,8.3047,1.6983,179.64,41.767,390020.0,6.14
